main_artist,source0,source1,source2,source3,source4,source5,source6,# streams
Meek Mill,MMG,Atlantic,"","","","","",1873601
Nkosazana Daughter,Nkosazana Daughter,"","","","","","",1867202
Kanye West,Roc-A-Fella,"","","","","","",1861587
Major League Djz,Major League Music Under Exclusive License to emPawa Africa Limited,"","","","","","",1860205
Mitski,Dead Oceans,"","","","","","",1859502
Zoli White Smoke,5542405 Records DK,"","","","","","",1859278
GAYLE,Atlantic,Arthouse Records,"","","","","",1856783
Riky Rick,Sound African Recordings,"","","","","","",1853052
Mfr Souls,Sound African Recordings,"","","","","","",1848621
NOMAKHOSINI,Loxion Records,"","","","","","",1845909
Nicky Youre,Thirty Knots,Columbia,"","","","","",1821459
Jaziel Brothers,Jaziel Music Productions,"","","","","","",1817340
Samthing Soweto,Youbuntu,"","","","","","",1812428
Tommy Richman,ISO Supremacy. Under exclusive license to PULSE Records.,"","","","","","",1811763
Coldplay,Parlophone UK,"","","","","","",1808843
SUPTA,SUPTA,"","","","","","",1800306
GloRilla,CMG,Interscope Records,"","","","","",1798883
d4vd,Darkroom,Interscope Records,"","","","","",1789068
Officixl Rsa,Clava ent,"","","","","","",1784732
Dr Dope,3174598 Records DK,"","","","","","",1783781
Oliver Tree,Atlantic Records,"","","","","","",1778639
Dj Obza,Open Mic Productions,"","","","","","",1773733
Black Coffee,Universal Music (Pty) Ltd.,"","","","","","",1764152
Davido,Columbia,"","","","","","",1758160
Tevin Campbell,Warner Records,Qwest,"","","","","",1753306
Panic! At The Disco,DCD2, Fueled By Ramen,"","","","","",1742742
Ggoldie,2023 HGA,LVRN Records (Love Renaissance),"","","","","",1714600
Cardi B,Atlantic Records,"","","","","","",1700961
Russell Zuma,Theko Price,"","","","","","",1698661
Masinga Sgqoko Sembongolo,3446464 Records DK,"","","","","","",1680768
Mustard,10 Summers Records,Interscope Records,"","","","","",1668446
