main_artist,track_name,trackAppearanceCount,artistAppearanceCount,rank,peak_rank,previous_rank,weeks_on_chart,streams,ArtistCount,isTopTen,rank difference,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Labels,main_art_track,entry rank
AKA,"All Eyes on Me (feat. Burna Boy, Da L.E.S. & JR)",3,161,112,22,63,4,55465,3,0,49,110194,36170.0,115268.0,38422.666666666664,185.0,3.0,13.0,3951.0,1.0702702702702702,1.1092341719657175,2,"AKAAll Eyes on Me (feat. Burna Boy, Da L.E.S. & JR)",28
AKA,"All Eyes on Me (feat. Burna Boy, Da L.E.S. & JR)",4,175,182,22,112,5,43486,3,0,70,110194,34692.0,117190.0,39063.333333333336,143.0,3.0,53.0,7494.0,1.3706293706293706,1.216015219647181,2,"AKAAll Eyes on Me (feat. Burna Boy, Da L.E.S. & JR)",28
AKA,Amapiano (feat. Laylizzy & Weathrd),1,165,189,26,26,2,42786,3,0,163,42786,27135.0,2477517.0,49550.34,55.0,50.0,144.0,51203.0,3.618181818181818,2.8869725446839873,2,AKAAmapiano (feat. Laylizzy & Weathrd),189
AKA,"Baddest (feat. Burna Boy, Khuli Chana & Yanga)",1,132,191,126,126,2,37404,3,0,65,37404,25905.0,1863632.0,40513.739130434784,93.0,46.0,93.0,36039.0,2.0,2.3911986103068905,2,"AKABaddest (feat. Burna Boy, Khuli Chana & Yanga)",191
AKA,Caiphus Song,1,130,128,127,127,2,44494,1,0,1,44494,43301.0,925309.0,54429.94117647059,45.0,17.0,141.0,37310.0,4.133333333333334,1.8616429181774092,2,AKACaiphus Song,128
AKA,Company,1,133,1,1,1,2,435810,1,1,0,435810,28230.0,28230.0,28230.0,198.0,1.0,0.0,0.0,1.0,1.0,3,AKACompany,1
AKA,Company,2,151,3,1,1,3,236147,1,1,2,435810,27618.0,62465.0,31232.5,100.0,2.0,78.0,7229.0,1.78,1.2617495836048953,3,AKACompany,1
AKA,Company,3,166,6,1,3,4,207631,1,1,3,435810,64652.0,3783123.0,87979.6046511628,11.0,43.0,49.0,43751.0,5.454545454545454,1.6767153374992265,3,AKACompany,1
AKA,Company,4,176,12,1,6,5,176873,1,1,6,435810,29897.0,1807449.0,48849.97297297297,29.0,37.0,164.0,41081.0,6.655172413793103,2.374084356289929,3,AKACompany,1
AKA,Company,5,184,14,1,12,6,165407,1,1,2,435810,32426.0,6705540.0,134110.8,1.0,50.0,109.0,176595.0,110.0,6.446092641707272,3,AKACompany,1
AKA,Company,6,189,15,1,14,7,173520,1,1,1,435810,32889.0,32889.0,32889.0,144.0,1.0,0.0,0.0,1.0,1.0,3,AKACompany,1
AKA,Company,7,193,18,1,15,8,141197,1,1,3,435810,30701.0,66119.0,33059.5,126.0,2.0,54.0,4717.0,1.4285714285714286,1.1536432038044364,3,AKACompany,1
AKA,Company,8,197,20,1,18,9,123481,1,1,2,435810,28533.0,755612.0,39769.05263157895,44.0,19.0,136.0,26805.0,4.090909090909091,1.9394385448428135,3,AKACompany,1
