main_artist,chart_country,num_songs_artist,peak_rank,Earliest End Date,Max End Date,total_streams,#_years_appeared,IsBoyGroup,IsGirlGroup,total_artistAppearanceCount,all_collaborators
James Arthur,Global,8,7,2016/12/29,2024/06/20,2664919890,9,FALSE,FALSE,396,1
Jason Derulo,Global,9,6,2017/03/02,2022/02/03,1437612762,5,FALSE,FALSE,177,10
Jawsh 685,Global,2,1,2020/06/18,2021/07/01,820476444,2,FALSE,FALSE,61,2
Jaymes Young,Global,1,11,2021/10/21,2022/08/25,461870187,2,FALSE,FALSE,42,0
Jeremy Zucker,Global,1,111,2019/07/11,2019/11/28,111135224,1,FALSE,FALSE,20,0
Jimin,Global,7,14,2022/04/28,2024/06/20,1186757233,3,FALSE,FALSE,88,1
Joel Corry,Global,3,11,2020/07/16,2022/01/27,1166383239,3,FALSE,FALSE,116,6
John Mayer,Global,6,63,2017/01/26,2021/07/22,92482122,4,FALSE,FALSE,15,0
Joji,Global,21,1,2018/09/20,2023/06/22,1476449471,5,FALSE,FALSE,138,3
Jonas Blue,Global,7,11,2016/12/29,2019/07/25,1243980417,4,FALSE,FALSE,168,8
Jonas Brothers,Global,7,2,2019/03/07,2023/12/28,1268521661,4,TRUE,FALSE,141,1
Jos Feliciano,Global,1,8,2016/12/29,2023/12/28,501545208,8,FALSE,FALSE,33,0
Juice WRLD,Global,59,3,2018/05/17,2022/12/22,6157804392,5,FALSE,FALSE,748,16
Jung Kook,Global,15,1,2022/02/17,2024/06/20,2904046957,3,FALSE,FALSE,144,6
Justin Bieber,Global,40,1,2016/12/29,2024/04/18,6896971307,9,FALSE,FALSE,627,18
Kali Uchis,Global,4,2,2021/02/25,2024/03/28,1264302827,3,FALSE,FALSE,100,2
Kane Brown,Global,3,86,2017/10/12,2021/07/15,135829797,3,FALSE,FALSE,23,4
Kanye West,Global,57,1,2017/01/05,2024/04/18,2786959174,8,FALSE,FALSE,277,12
Kate Bush,Global,1,1,2022/06/02,2023/01/26,753614642,2,FALSE,FALSE,33,0
Katy Perry,Global,10,7,2017/02/16,2022/11/03,865539651,4,FALSE,FALSE,109,4
Kehlani,Global,3,37,2019/01/17,2022/04/07,112395103,3,FALSE,FALSE,14,2
Kelly Clarkson,Global,2,9,2017/12/28,2023/12/28,582252363,7,FALSE,FALSE,40,1
Kendrick Lamar,Global,41,1,2017/03/30,2024/06/20,4565616208,7,FALSE,FALSE,463,17
Kenya Grace,Global,1,4,2023/09/07,2024/04/18,673225048,2,FALSE,FALSE,32,0
